date,daily_revenue,rolling_7,rolling_30,month,dayofweek
2016-09-04,72.89,,,2016-09,6
2016-09-05,59.5,,,2016-09,0
2016-09-15,134.97,,,2016-09,3
2016-10-02,100.0,,,2016-10,6
2016-10-03,463.48,,,2016-10,0
2016-10-04,9940.96,,,2016-10,1
2016-10-05,8343.25,2730.7214285714285,,2016-10,2
2016-10-06,7960.51,3857.5242857142853,,2016-10,3
2016-10-07,7228.05,4881.602857142857,,2016-10,4
2016-10-08,8441.85,6068.3,,2016-10,5
2016-10-09,3336.99,6530.727142857142,,2016-10,6
2016-10-10,3692.57,6992.0257142857145,,2016-10,0
2016-12-23,10.9,5573.4457142857145,,2016-12,4
2017-01-05,396.9,4438.2528571428575,,2017-01,3
2017-01-06,916.38,3431.948571428572,,2017-01,4
2017-01-07,1351.9,2592.4985714285713,,2017-01,5
2017-01-08,709.58,1487.8885714285714,,2017-01,6
2017-01-09,673.79,1107.4314285714286,,2017-01,0
2017-01-10,1434.87,784.9028571428571,,2017-01,1
2017-01-11,2776.16,1179.94,,2017-01,2
2017-01-12,2234.58,1442.465714285714,,2017-01,3
2017-01-13,2505.58,1669.4942857142855,,2017-01,4
2017-01-14,1112.69,1635.3214285714282,,2017-01,5
2017-01-15,2199.57,1848.1771428571426,,2017-01,6
2017-01-16,3307.92,2224.4814285714283,,2017-01,0
2017-01-17,3302.53,2491.2900000000004,,2017-01,1
2017-01-18,4032.36,2670.7471428571434,,2017-01,2
2017-01-19,3553.95,2859.2285714285713,,2017-01,3
2017-01-20,4035.83,3077.8357142857144,,2017-01,4
2017-01-21,2458.6,3270.1085714285714,2892.970333333333,2017-01,5
2017-01-22,3619.27,3472.922857142857,3011.183,2017-01,6
2017-01-23,6581.47,3940.5728571428576,3228.582,2017-01,0
2017-01-24,5955.17,4319.521428571428,3422.588666666667,2017-01,1
2017-01-25,8977.23,5025.931428571429,3718.4963333333335,2017-01,2
2017-01-26,13157.66,6397.889999999999,4141.635666666667,2017-01,3
2017-01-27,11432.95,7454.621428571429,4191.368666666666,2017-01,4
2017-01-28,5211.01,7847.822857142857,4086.9606666666664,2017-01,5
2017-01-29,6457.66,8253.307142857144,4036.8656666666666,2017-01,6
2017-01-30,10801.13,8856.115714285714,4155.968333333333,2017-01,0
2017-01-31,11116.13,9593.395714285713,4245.111,2017-01,1
2017-02-01,8219.75,9485.184285714286,4407.8696666666665,2017-02,2
2017-02-02,8917.64,8879.467142857142,4582.038666666666,2017-02,3
2017-02-03,10183.74,8701.00857142857,4921.133333333333,2017-02,4
2017-02-04,13968.16,9952.029999999999,5373.508666666667,2017-02,5
2017-02-05,8503.79,10244.334285714285,5626.422333333334,2017-02,6
2017-02-06,9539.44,10064.092857142856,5899.3403333333345,2017-02,0
2017-02-07,14143.48,10496.57142857143,6347.137,2017-02,1
2017-02-08,11958.27,11030.645714285714,6723.286333333334,2017-02,2
2017-02-09,9190.29,11069.595714285713,6981.800333333333,2017-02,3
2017-02-10,14222.64,11646.581428571428,7363.349666666667,2017-02,4
2017-02-11,4307.56,10266.495714285715,7432.449,2017-02,5
2017-02-12,15126.15,11212.547142857144,7853.134666666667,2017-02,6
2017-02-13,10785.15,11390.505714285713,8175.55,2017-02,0
2017-02-14,12694.11,11183.452857142856,8525.368,2017-02,1
2017-02-15,6770.15,10442.292857142855,8640.775666666666,2017-02,2
2017-02-16,6348.04,10036.257142857143,8742.292666666666,2017-02,3
2017-02-17,6801.26,8976.060000000001,8834.589333333333,2017-02,4
2017-02-18,7297.33,9403.17,8959.368666666667,2017-02,5
2017-02-19,3797.9,7784.848571428572,8951.437666666665,2017-02,6
2017-02-20,7878.3,7369.584285714286,9132.094333333334,2017-02,0
2017-02-21,8285.64,6739.802857142858,9287.639999999998,2017-02,1
2017-02-22,8033.05,6920.217142857143,9336.026000000002,2017-02,2
2017-02-23,6940.82,7004.9,9368.881,2017-02,3
2017-02-24,6682.21,6987.892857142857,9292.380333333333,2017-02,4
2017-02-25,4196.59,6544.93,8993.678000000002,2017-02,5
2017-02-26,5446.68,6780.47,8794.135666666667,2017-02,6
2017-02-27,5844.12,6489.872857142857,8815.239333333333,2017-02,0
2017-02-28,11220.76,6909.175714285714,8974.009333333333,2017-02,1
2017-03-01,12555.41,7555.227142857143,9032.485333333334,2017-03,2
2017-03-02,11377.0,8188.967142857144,9041.181,2017-03,3
2017-03-03,12364.44,9000.714285714286,9179.337333333333,2017-03,4
2017-03-04,12658.51,10209.56,9304.033,2017-03,5
2017-03-05,6954.62,10424.98,9196.395666666667,2017-03,6
2017-03-06,10336.64,11066.768571428573,9075.345,2017-03,0
2017-03-07,11883.52,11161.448571428571,9188.002666666667,2017-03,1
2017-03-08,14612.46,11455.312857142857,9357.103333333334,2017-03,2
2017-03-09,11705.54,11502.247142857143,9275.838666666667,2017-03,3
